公司名称,省份,城市,营业收入,利润,员工人数,上市日期,行业分类,产品类型
贝因美股份有限公司,浙江,杭州市,5.67亿,1881.01万,2111,2011-04-12,乳制品,婴幼儿食品
安徽德力日用玻璃股份有限公司,安徽,滁州市,2.33亿,1154.26万,2117,2011-04-12,玻璃,玻璃及玻璃制品
索菲亚家居股份有限公司,广东,广州市,17.60亿,1.15亿,13166,2011-04-12,橱柜衣柜,家具制造
北京清新环境技术股份有限公司,北京,北京市,7.23亿,8542.31万,1854,2011-04-22,大气污染治理,燃煤电厂大气治理装置
浙江明牌珠宝股份有限公司,浙江,绍兴市,10.57亿,2660.87万,947,2011-04-22,珠宝首饰,珠宝
广东群兴玩具股份有限公司,广东,汕头市,806.55万,386.97万,81,2011-04-22,玩具,酒类销售、技术服务、咨询服务、自有物业租赁及创业园区运营服务
江苏通达动力科技股份有限公司,江苏,南通市,4.21亿,2851.70万,1089,2011-04-28,电机,国标普通电机，新能源汽车驱动电机、高效电机、风力发电机、牵引电机
深圳雷柏科技股份有限公司,广东,深圳市,1.29亿,1922.25万,167,2011-04-28,PC、服务器及硬件,鼠标键盘产品销售、其它计算机外设设备、机器人集成项目
福建省闽发铝业股份有限公司,福建,泉州市,2.76亿,1031.61万,1875,2011-04-28,铝,铝合金模板
惠州中京电子科技股份有限公司,广东,惠州市,6.28亿,4250.25万,4709,2011-05-06,印制电路板,刚性电路板(含HDI板)、柔性板、柔性板组件
山东圣阳电源股份有限公司,山东,济宁市,3.88亿,703.08万,1923,2011-05-06,电池,储能电源、备用电源、动力电源和新能源系统解决方案及运维服务
山东未名生物医药股份有限公司,山东,淄博市,8256.48万,2388.63万,769,2011-05-20,化学制剂,生物医药制品、医药中间体、农药中间体
好想你健康食品股份有限公司,河南,郑州市,3.26亿,3441.69万,1928,2011-05-20,休闲食品,红枣及其相关产品、坚果炒货、果干、肉脯海鲜
